time (UTC),latitude (degrees_north),longitude (degrees_east),tmpsfc (K),tmp2m (K),ugrd10m (m s-1),vgrd10m (m s-1),pratesfc (kg m-2 s-1),rh2m (%),prmslmsl (Pa),dlwrfsfc (W m-2),dswrfsfc (W m-2)
2018-01-01T12:00:00Z,38.0,58.0,287.87296,289.52072,-1.6546167,0.96512204,NaN,19.307024,101252.05,NaN,NaN
2018-01-01T15:00:00Z,38.0,58.0,282.3033,285.7168,0.030881347,1.948872,0.0,23.9,101214.586,282.0,10.0
2018-01-01T18:00:00Z,38.0,58.0,280.5808,284.64194,0.5076831,2.110371,0.0,24.1,101047.586,276.63098,10.0
2018-01-01T21:00:00Z,38.0,58.0,279.59222,284.1695,0.8350781,2.2832935,0.0,23.300001,100830.13,269.90836,0.0
2018-01-02T00:00:00Z,38.0,58.0,279.3839,284.2841,1.2253174,2.5776782,0.0,22.5,100611.414,272.3644,0.0
2018-01-02T03:00:00Z,38.0,58.0,278.6,283.83313,1.6241821,2.5137305,0.0,23.053946,100531.59,266.3437,0.0
2018-01-02T06:00:00Z,38.0,58.0,290.3165,289.55222,1.5998046,1.7743798,0.0,17.47966,100500.12,266.2765,70.0
2018-01-02T09:00:00Z,38.0,58.0,297.34644,290.87512,0.59352535,-1.7844336,0.0,15.284644,100296.81,281.84546,450.0
2018-01-02T12:00:00Z,38.0,58.0,286.6906,286.26193,0.100849606,-2.2751977,NaN,22.130644,100466.74,NaN,NaN
2018-01-02T15:00:00Z,38.0,58.0,281.50378,282.6429,1.0845312,-0.5000854,0.0,30.46022,100732.26,298.5423,10.0
2018-01-02T18:00:00Z,38.0,58.0,280.1049,281.883,1.916958,0.86250484,0.0,43.8,100831.32,284.33258,0.0
2018-01-02T21:00:00Z,38.0,58.0,280.8859,282.11838,2.0092847,0.97980225,0.0,52.0,100934.15,307.73273,0.0
2018-01-03T00:00:00Z,38.0,58.0,280.06543,280.87256,0.9356763,0.6440552,0.0,62.774868,100991.31,312.80084,0.0
2018-01-03T03:00:00Z,38.0,58.0,278.61237,279.50998,0.65761715,0.7992041,1.0E-5,74.8,101127.49,307.11197,0.0
2018-01-03T06:00:00Z,38.0,58.0,283.8693,281.45383,-0.27450195,0.7922375,1.8E-5,64.6,101309.336,309.49826,30.0
2018-01-03T09:00:00Z,38.0,58.0,286.82812,282.29123,0.23393066,0.32248536,3.0E-5,57.040432,101310.1,320.0,190.0
2018-01-03T12:00:00Z,38.0,58.0,283.5,282.52798,2.1985986,0.874491,NaN,44.46966,101336.4,NaN,NaN
2018-01-03T15:00:00Z,38.0,58.0,280.61414,281.14005,2.0360472,1.2025696,0.0,52.253822,101547.21,292.0,10.0
2018-01-03T18:00:00Z,38.0,58.0,279.88266,279.90143,0.9577637,0.5876147,2.0E-5,62.500404,101655.58,302.0,10.0
2018-01-03T21:00:00Z,38.0,58.0,278.50122,278.88574,0.5081518,1.5798144,1.9E-5,69.30038,101724.49,300.0,0.0
2018-01-04T00:00:00Z,38.0,58.0,278.36743,278.70258,0.7378638,1.3575268,1.6E-5,69.200005,101755.3,301.02344,0.0
2018-01-04T03:00:00Z,38.0,58.0,277.74524,278.28235,0.8564966,1.5549951,1.0E-5,69.9,101857.94,301.0,0.0
2018-01-04T06:00:00Z,38.0,58.0,285.26434,280.32568,0.84228516,1.4031811,1.0E-5,58.53056,101949.0,290.0,60.0
2018-01-04T09:00:00Z,38.0,58.0,292.9,282.0622,0.2511621,-0.22243652,0.0,50.539375,101815.03,263.0,450.0
2018-01-04T12:00:00Z,38.0,58.0,283.05038,281.48965,-0.9321924,-0.8047534,NaN,51.177563,101785.82,NaN,NaN
2018-01-04T15:00:00Z,38.0,58.0,278.11874,279.0305,-0.7674487,1.531333,0.0,67.25477,101851.75,254.0,10.0
2018-01-04T18:00:00Z,38.0,58.0,276.5213,278.23056,-0.041159667,1.9596484,0.0,65.14069,101816.85,251.0,10.0
2018-01-04T21:00:00Z,38.0,58.0,275.253,277.74243,0.18071045,2.124514,0.0,61.600002,101700.23,244.0,0.0
2018-01-05T00:00:00Z,38.0,58.0,274.25195,277.18655,0.26500976,1.9539623,0.0,59.100002,101545.695,243.0,0.0
2018-01-05T03:00:00Z,38.0,58.0,273.35043,276.70383,-0.039348144,1.8501806,0.0,56.910976,101463.9,241.97656,0.0
2018-01-05T06:00:00Z,38.0,58.0,285.73276,282.91586,-1.010459,1.2347338,0.0,36.261658,101393.2,242.97656,70.0
2018-01-05T09:00:00Z,38.0,58.0,293.04135,285.3459,-2.3093042,-0.045856934,0.0,31.439575,101141.44,259.0,460.0
2018-01-05T12:00:00Z,38.0,58.0,284.08054,283.6981,-2.5787451,-0.5368799,NaN,39.797016,101163.71,NaN,NaN
2018-01-05T15:00:00Z,38.0,58.0,277.8221,279.52765,-0.5286963,0.641936,0.0,52.3,101319.32,252.0,20.0
2018-01-05T18:00:00Z,38.0,58.0,276.24362,278.35022,0.17079833,0.99837154,0.0,51.2,101340.46,251.0,10.0
2018-01-05T21:00:00Z,38.0,58.0,274.98364,277.889,0.7563696,1.2722827,0.0,45.5,101338.98,251.0,0.0
2018-01-06T00:00:00Z,38.0,58.0,273.79443,277.24988,0.99755126,1.1906372,0.0,40.2,101356.9,247.0,0.0
2018-01-06T03:00:00Z,38.0,58.0,272.70364,276.08344,0.70290035,0.7944116,0.0,40.280132,101447.13,242.0,0.0
